z,y,x
11.3344,7.556267,21.638401
10.990933,9.617066,22.6688
7.8997335,7.556267,21.981867
12.3648,5.152,18.203733
10.990933,5.4954667,20.264534
12.021334,7.556267,20.264534
7.8997335,6.1824,8.586667
6.8693333,5.152,8.2432
6.5258665,6.5258665,10.647467
9.617066,9.617066,15.799467
8.586667,10.647467,8.586667
14.082133,14.082133,20.608
10.647467,6.8693333,17.860268
6.8693333,5.8389335,8.2432
13.738667,8.930134,21.294933
5.4954667,6.1824,7.2128
7.556267,10.990933,18.890667
9.960533,13.051733,6.8693333
12.708267,12.708267,18.890667
10.647467,5.152,19.234133
10.304,6.1824,20.608
9.617066,9.960533,25.073067
8.930134,9.617066,23.355734
9.617066,10.304,21.981867
7.2128,8.586667,7.8997335
16.142933,15.112534,20.951468
9.960533,5.8389335,17.173334
9.617066,6.5258665,20.951468
7.2128,6.5258665,7.8997335
8.2432,9.2736,20.951468
8.586667,10.647467,6.5258665
15.112534,13.738667,18.890667
11.3344,9.617066,8.2432
14.769067,7.8997335,17.173334
13.051733,7.556267,18.5472
13.738667,9.2736,23.012266
6.8693333,9.617066,6.8693333
14.4256,13.738667,19.5776
13.738667,7.8997335,15.112534
15.112534,7.556267,16.4864
10.990933,9.960533,18.890667
7.8997335,12.021334,7.556267
14.082133,13.738667,17.860268
12.708267,5.4954667,16.4864
12.021334,7.2128,18.5472
11.3344,7.2128,24.386133
9.2736,7.2128,22.325333
10.304,8.930134,19.921066
12.3648,5.4954667,16.142933
12.021334,6.5258665,19.234133
11.3344,7.2128,23.6992
8.586667,7.556267,20.264534
9.960533,8.2432,21.294933
11.677867,8.586667,17.173334
13.3952,6.5258665,17.173334
12.3648,8.2432,20.608
8.930134,8.930134,17.860268
9.617066,8.2432,16.4864
8.930134,9.960533,23.012266
11.677867,13.051733,18.203733
10.647467,11.3344,16.142933
12.3648,8.2432,18.5472
14.769067,8.2432,16.829866
13.051733,8.930134,20.264534
9.2736,8.930134,18.890667
6.5258665,8.930134,13.3952
10.990933,15.456,15.799467
10.990933,12.3648,16.829866
8.586667,12.3648,15.112534
6.8693333,5.152,17.173334
6.5258665,6.1824,20.608
6.8693333,6.8693333,23.355734
6.1824,7.2128,20.951468
7.556267,7.8997335,21.981867
12.3648,11.677867,18.203733
13.738667,11.677867,16.829866
13.3952,13.3952,15.112534
6.8693333,5.4954667,18.203733
8.2432,5.4954667,19.921066
8.586667,6.5258665,22.325333
6.1824,6.5258665,21.294933
6.5258665,7.2128,20.264534
9.960533,9.960533,18.890667
13.3952,13.738667,16.829866
12.708267,15.456,16.142933
14.769067,9.2736,21.981867
12.3648,7.2128,22.6688
12.021334,7.8997335,26.103466
9.617066,9.617066,19.5776
8.586667,8.930134,18.203733
10.990933,12.021334,17.860268
13.738667,8.586667,21.294933
12.021334,6.8693333,22.325333
10.990933,8.2432,25.073067
8.2432,7.2128,15.799467
4.1216,5.4954667,12.708267
12.708267,13.3952,18.890667
12.3648,13.3952,20.951468
14.4256,6.1824,17.860268
15.112534,8.930134,19.5776
14.082133,8.930134,21.981867
10.990933,7.8997335,19.921066
10.304,8.586667,19.234133
16.4864,13.738667,20.264534
14.769067,6.1824,18.203733
15.112534,6.1824,19.921066
15.112534,8.2432,21.638401
12.3648,7.8997335,19.234133
12.3648,9.960533,19.5776
14.769067,13.051733,18.890667
16.142933,11.677867,16.829866
18.890667,7.2128,22.6688
18.5472,7.2128,22.325333
13.3952,8.586667,23.355734
9.617066,10.647467,18.890667
9.2736,9.960533,20.264534
17.860268,13.051733,15.456
15.112534,10.990933,15.456
13.3952,7.8997335,19.234133
13.3952,7.2128,18.890667
14.082133,8.930134,21.638401
9.2736,10.647467,18.203733
16.4864,15.112534,16.829866
0.68693334,1.0304,0.68693334
15.456,13.051733,16.4864
12.708267,13.051733,17.173334
7.556267,5.152,18.5472
8.2432,5.8389335,20.951468
9.2736,6.8693333,24.386133
7.8997335,7.2128,21.981867
8.586667,8.586667,21.981867
8.2432,5.152,18.5472
9.2736,6.1824,21.638401
8.586667,7.8997335,24.386133
6.8693333,8.586667,21.638401
6.8693333,8.930134,22.325333
15.456,10.990933,14.4256
16.142933,7.8997335,17.5168
15.456,8.930134,17.5168
17.5168,8.586667,21.294933
11.3344,8.2432,16.142933
9.2736,7.8997335,17.5168
13.051733,11.677867,19.5776
12.3648,12.021334,18.203733
15.456,7.556267,17.860268
16.142933,7.2128,18.203733
16.4864,7.8997335,21.638401
10.990933,9.2736,16.142933
6.5258665,8.2432,9.617066
14.082133,13.3952,20.264534
10.990933,10.990933,16.4864
6.8693333,4.808533,18.5472
8.586667,7.556267,20.264534
9.2736,8.586667,25.073067
7.556267,8.586667,18.5472
6.5258665,8.2432,21.638401
12.021334,10.647467,19.234133
10.304,10.647467,16.142933
